Supplier Name,MPN,EAN,Product name,Brand,Supplier stock,Supplier Cost
Navy blue,90NR0J91-M007S0,4711387675205,"Notebook|ASUS|ROG Zephyrus|G16 (2024) GA605|CPU  Ryzen AI 9|HX370|2000 MHz|16""|2560x1600|RAM 32GB|LPDDR5x|SSD 1TB|GeForce RTX 4070|8GB|ENG|Card Reader SD|Windows 11 Home|Grey|1.85 kg|90NR0J91-M007S0",Asus,30,3022.92
Navy blue,90NB1421-M00A90,197105693623,"Notebook|ASUS|ProArt|P16|H7606WI|CPU  Ryzen AI 9|HX370|2000 MHz|16""|Touchscreen|3840x2400|RAM 64GB|LPDDR5x|SSD 2TB|NVIDIA GeForce RTX 4070|8GB|ENG|Card Reader SD|Windows 11 Pro|1.85 kg|90NB1421-M00A90",Asus,8,3238.92
Navy blue,XUB2792QSU-W6,4948570123384,"IIYAMA 68.5cm (27"")   XUB2792QSU-W6 16:9  HDMI+DP+USB IPS Li retail",IIYAMA,12,187.29
Navy blue,T1932MSC-B1S,4948570122196,"IIYAMA 48.0cm (19"")   T1932MSC-B1S  5:4 M-Touch HDMI+DP+VGA retail",IIYAMA,5,438.93
Navy blue,50046232,4008110370934,Herlitz Schulranzen Loop  High Speed,Herlitz,2,71.49
Navy blue,50046249,4008110371115,Herlitz Schulranzen Loop Game Changer,Herlitz,6,71.66
Navy blue,PCA-W007W,4014619881260,"Good Connections USB-Schnellladegerät 65W mit GaN, 3-Port",Good Connections,3,24.48
Navy blue,20125,4008705201254,HERMA Ordner A4 Karton Color Violett,HERMA,6,4.65
Navy blue,57197,4040849571978,Goobay RJ 45 S/FTP CAT6 Outdoor Solid 100 meter,Goobay,3,37.5
Navy blue,1061,4008705010610,HERMA Transfer Nachfüllrolle ablösbar 15 m,HERMA,82,1.98
Navy blue,DN-97663,4016032441632,"DIGITUS cable management panel with rings Professional DN-97663 - 1U - 19""",Digitus,500,10.67
Navy blue,DN-10 ORG-1U,4016032147176,"DIGITUS Professional DN-10 ORG-1U - rack cable management panel - 1U - 10""",Digitus,169,8.64
Navy blue,19358,4008705193580,HERMA Ringbuch A4 Hunde  4D,HERMA,5,3
Navy blue,920-012065,5099206113053,Logitech Wireless Keyboard+Mouse MK370 black f. Business,Logitech,500,27.85
Navy blue,47228002,5031713072072,OKI C824dn A3 Laserdrucker Farbe (Speditionsversand),Oki,15,1094.62
Navy blue,NS-M4000BLACK#2,8717371449957,"Neomounts BOS 60""-105"" 1TFT schwarz Max.150KG 2/2 (Speditionsversand)",Neomounts,3,1108.07
Navy blue,XC971,4044953502095,CPU COOLER MULTI SOCKET/LQ120 XC971 XILENCE,Xilence,18,38.61
Navy blue,140851,5000394140851,Duracell Batterie Plus NEW - AA (MN1500/LR06) Mignon    4St.,Duracell,118,2.14
Navy blue,BX1600MI-GR,731304410874,APC Back-UPS BX1600MI-GR - USV - Wechselstrom 230 V,APC,1,175.91
Navy blue,CM8071504820806,srmbb,"Intel Tray Core i7 Processor i7-13700F 2,10Ghz 30M Raptor Lake",Intel,100,220.26
Navy blue,7D98-043R,4711377247900,MSI B760 GAMING PLUS WIFI DDR4 - motherboard - ATX - LGA1700 Socket - B760,MSI,13,126.74
Navy blue,BL045,4260052183380,be quiet! Lüfter  92*92*25  Pure Wings 2,be quiet!,1,7.06
Navy blue,817M7EA#ABD,197497475913,"HP Elite     655 G10 (15.6"") AMD R5P-7530U   8 256SSD FHD 3J W11P 36 Monate",HP Inc.,1,733.31
Navy blue,B09WX9XBKD,840268914349,Amazon Echo Pop (1th) Antrazit,Amazon,37,21.21
Navy blue,20120,4008705201209,HERMA Ordner A4 Karton Color Schwarz,HERMA,11,4.65
Navy blue,90NX06R1-M00UD0,4711387651247,"ASUS ExpertBook B5 14""    U5-125U   16 512  B5404CMA-Q70100X W11P",Asus,110,1059.05
Navy blue,HUE-SA7BP,8595247903150,"AXAGON HUE-SA7BP 7x USB3.0 ALU Charging Hub Incl. AC Adapter, Black",AXAGON,15,21.11
Navy blue,97-0201003,7291063043698,"Kramer HDMI zu DVI Anschlusskabel Stecker - Stecker 0,9m",Kramer AV,10,21.17
Navy blue,E300843801,7638900411522,Energizer Batterie Knopfzelle CR1220 3.0V Lithium       1St.,Energizer,116,1.02
Navy blue,"15,190,009",4011324151992,KMP Patrone Canon CLI-551Y XL yellow 715 S. C93 kompatibel,KMP Printtechnik AG,3,5.72
Navy blue,SM21BMU31C3,65030864435,StarTech.com M.2 SSD Enclosure for M.2 SATA SSDs - USB 3.1 (10Gbps) with USB-C Cable - External Enclosure for USB-C Host - Aluminum (SM21BMU31C3) - storage enclosure - SATA 6Gb/s - USB 3.1 (Gen 2),StarTech,8,30.35
Navy blue,ST4300USBM,65030841603,StarTech.com 4-Port USB 3.0 Hub - Metal Industrial USB-A Hub - Wall or Desk Mountable USB Data Hub - TAA Compliant USB Expander Hub (ST4300USBM) - hub - 4 ports,StarTech,28,100.02
Navy blue,"17,414,830",4011324628289,KMP Patrone HP NR.62 color 165 S. H161 refilled,KMP Printtechnik AG,4,13.02
Navy blue,"15,690,003",4011324156935,KMP Patrone Canon CLI571C XL cyan pigm. 715 S. C107CX kompatibel,KMP Printtechnik AG,3,7.51
Navy blue,87298,4043619872985,DELOCK Dockingstation USB3.1 Type-C 4K,Delock,4,68.73
Navy blue,Z790 AERO G,4719331849610,Gigabyte Motherboard Z790 AERO G - ATX - Socket LGA1700 - AMD Z790,Gigabyte,5,253.95
Navy blue,MK70013B,4049759127107,"EFB RJ45 Patchkabel S/FTP,Cat.6A,LSZH,Cat.7 Rohk.,3m,schwarz",EFB,55,4.01
Navy blue,"17,514,006",4011324218701,KMP Patrone HP 913A (F6T78AE) magenta 3000 S.  Hybrid-Chip refilled,KMP Printtechnik AG,3,47.17
Navy blue,"17,514,009",4011324218718,KMP Patrone HP 913A  (F6T79AE) yellow 3000 S.  Hybrid-Chip refilled,KMP Printtechnik AG,3,47.17
Navy blue,76U49AA,197029504548,Poly Voyager 4320 - headset,HP Poly,121,79.2
Navy blue,77Z30AA,197029611604,Poly Voyager 4320M Teams +BTdongle USB-C,HP Poly,32,78.72
Navy blue,570-AAIS,5397063763610,Dell MS116 Maus USB      570-AAIS  schwarz,DELL,500,7.53
Navy blue,355360,766623355360,MANHATTAN Premium HDMI-Kabel Ethernet-Kanal 4K@60HZ 5m,Manhattan,16,9.75
Navy blue,K5430SW10,4049759223816,"EFB HighSpeed HDMI Kabel Eth. A-A,St.-St.,10m,schwarz,4k30Hz",EFB,8,10.59
Navy blue,WDS400T4B0E,718037898384,Western Digital 4TB Blue SN5000 M.2 (2280) PCIe 4.0/NVMe SSD,Western Digital,89,211.57
Navy blue,88887320,4260455646246,"Inter-Tech IPC 19"" Lochblende 3HE,134x482x11mm, RAL 9005",Inter Tech,7,7.11
Navy blue,242B9TL/00,8712581771171,"Philips 60,5cm (23,8"") 242B9TL 16:09 TOUCH DVI+HDMI+DP+USB",Philips,5,376.6
Navy blue,CM8071504821107,srmbg,"Intel Tray Core i5 Processor i5-13400F 2,50GHz 20M Raptor Lake",Intel,100,103.56
Navy blue,910-006958,5099206112490,Logitech MX Anywhere 3S - for Business,Logitech,100,59.62
Navy blue,THIN15B12UC-2049NL,4711377217910,"Notebook|MSI|Thin 15 B12UC|CPU  Core i7|i7-12650H|2300 MHz|15.6""|1920x1080|RAM 16GB|DDR4|3200 MHz|SSD 512GB|NVIDIA GeForce RTX 3050|4GB|ENG|Windows 11 Home|Grey|1.86 kg|THIN15B12UC-2049NL",MSI,100,829.63
Navy blue,THIN15B13VE-2053NL,4711377217958,"Notebook|MSI|Thin 15 B13VE|CPU  Core i5|i5-13420H|2100 MHz|15.6""|1920x1080|RAM 16GB|DDR4|3200 MHz|SSD 512GB|NVIDIA GeForce RTX 4050|6GB|ENG|Windows 11 Home|Black|1.86 kg|THIN15B13VE-2053NL",MSI,30,921.67
Navy blue,THIN15B13VE-2051NL,4711377217934,"Notebook|MSI|Thin 15 B13VE|CPU  Core i7|i7-13620H|2400 MHz|15.6""|1920x1080|RAM 16GB|DDR4|3200 MHz|SSD 512GB|NVIDIA GeForce RTX 4050|6GB|ENG|Windows 11 Home|Black|1.86 kg|THIN15B13VE-2051NL",MSI,30,1014.95
Navy blue,THINA15B7VF-226NL,4711377217972,"Notebook|MSI|Thin A15 B7VF|CPU  Ryzen 7|7735HS|3200 MHz|15.6""|1920x1080|RAM 16GB|DDR5|4800 MHz|SSD 512GB|NVIDIA GeForce RTX 4060|8GB|ENG|Windows 11 Home|Grey|1.86 kg|THINA15B7VF-226NL",MSI,18,1107
Navy blue,SWORD16HXB13VFKG-469NL,4711377226844,"Notebook|MSI|Sword|16 HX B13VFKG|CPU  Core i7|i7-13700HX|2100 MHz|16""|1920x1200|RAM 16GB|DDR5|5600 MHz|SSD 512GB|NVIDIA GeForce RTX 4060|8GB|ENG|Windows 11 Home|Grey|2.3 kg|SWORD16HXB13VFKG-469NL",MSI,1,1248.7
Navy blue,KATANAA15AIB8VF-452NL,4711377217767,"Notebook|MSI|Katana A15 AI B8VF|CPU  Ryzen 7|8845HS|3800 MHz|15.6""|1920x1080|RAM 16GB|DDR5|5600 MHz|SSD 1TB|NVIDIA GeForce RTX 4060|8GB|ENG|Windows 11 Home|Black|2.25 kg|KATANAA15AIB8VF-452NL",MSI,5,1337.95
Navy blue,KATANAA15AIB8VG-462NL,4711377222563,"Notebook|MSI|Katana 15 A AI B8VG|CPU  Ryzen 7|8845HS|3800 MHz|15.6""|1920x1080|RAM 16GB|DDR5|5600 MHz|SSD 1TB|NVIDIA GeForce RTX 4070|8GB|ENG|Windows 11 Home|Black|2.25 kg|KATANAA15AIB8VG-462NL",MSI,1,1516.46
Navy blue,KATANAA15AIB8VG-454NL,4711377217781,"Notebook|MSI|Katana 15 A AI B8VG|CPU  Ryzen 9|8945HS|4000 MHz|15.6""|1920x1080|RAM 16GB|DDR5|5600 MHz|SSD 1TB|NVIDIA GeForce RTX 4070|8GB|ENG|Windows 11 Home|Black|2.25 kg|KATANAA15AIB8VG-454NL",MSI,16,1605.72
Navy blue,SWORD16HXB14VGKG-448NL,4711377222617,"Notebook|MSI|Sword|16 HX B14VGKG (20Y anniversary bundel)|CPU  Core i7|i7-14650HX|2200 MHz|16""|2560x1600|RAM 16GB|DDR5|5600 MHz|SSD 1TB|NVIDIA GeForce RTX 4060|8GB|ENG|Windows 11 Home|Grey|2.3 kg|SWORD16HXB14VGKG-448NL",MSI,4,1694.97
Navy blue,STLTH16AISTDA1VGG-228NL,4711377217828,"Notebook|MSI|Stealth 16 AI Studio A1VGG (20Y anniversary bundel)|CPU  Core Ultra|u9-185H|2300 MHz|16""|2560x1600|RAM 16GB|DDR5|5600 MHz|SSD 1TB|NVIDIA GeForce RTX 4070|8GB|ENG|Card Reader Micro SD|Windows 11 Pro|Blue|1.99 kg|STLTH16AISTDA1VGG-228NL",MSI,5,2230.51
Navy blue,STLTH16AISTDA1VGG-232NL,4711377221504,"Notebook|MSI|Stealth 16 AI Studio A1VGG (20Y anniversary bundel)|CPU  Core Ultra|u9-185H|2300 MHz|16""|2560x1600|RAM 32GB|DDR5|5600 MHz|SSD 2TB|NVIDIA GeForce RTX 4070|8GB|ENG|Card Reader Micro SD|Windows 11 Pro|Blue|1.99 kg|STLTH16AISTDA1VGG-232NL",MSI,3,2409.03
Navy blue,20127,4008705201278,HERMA Ordner A4 Karton Color Türkis,HERMA,7,4.65
Navy blue,1001212,5714708010173,EPOS IMPACT 730T,Epos,1,90.49
Navy blue,19992,4008705199926,HERMA Heftschoner 10er Set A4 transparent (5 Farben),HERMA,27,2.74
Navy blue,5898,4008705058988,HERMA Verstärkungsringe 500x transparent,HERMA,126,0.6
Navy blue,VM920410,4040895010957,Medigenic MMA Scroll Maus USB&PS2 IP65 Silikon hellblau,Medigenic,3,118.83
Navy blue,EL1600USBDIN,3553340621628,Eaton USV EL1600USBDIN 1600VA/1000W USB   Ellipse ECO,Eaton,36,203.53
Navy blue,7142,4008705071420,HERMA Sammelmappe A3 Leopard Polypropylen,HERMA,3,2.37
Navy blue,K65048WW,85896650485,Kensington Microsaver 2.0 Twin-Notebookschloss,Kensington,53,48.38
Navy blue,90YH03G1-B5UA00,4711081504061,ASUS Kopfhörer ROG Cetra True Wireless Kopfhörer,Asus,500,80.2
Navy blue,MB411SKO-B,4711132867268,Icy Dock 6.3cm SATA III/SAS HDD&SSD Slim ODD FDD Retail,ICY Dock,5,53.06
Navy blue,K39121EU,5028252591508,Kensington HUB USB 3.0 4-Port,Kensington,52,23.4
Navy blue,TYP-C KABEL FUR DUD15Y0,4039407069750,Kabel USB-C/A für TERRA MOBILE Dockingstation 800 Ersatz-USB-C/A Kabel für Docking 800,,30,31.32
Navy blue,32UR550-BAEU,8806084826046,"LG 32UR550-B - LED monitor - 32"" - HDR",LG,53,318.33
Navy blue,1PV87A,192545078818,"HP LaserJet Enterprise M507 dn 43ppm, 1 manuelle Zufuhr und 1x 550 Blatt Papierk.",Hewlett Packard,36,430.92
Navy blue,32GS60QX-BAEUQ,8806096175279,"LG LCD 32GS60QX-B 32"" black UltraGear Gaming Monitor",LG,100,245.16
Navy blue,90MP03Z0-BMUA00,4711387614044,Asus Maus ROG Harpe Ace Mini Blk,Asus,31,132.02
Navy blue,M425R4GA3PB0-CWM,,RAM SO-DIMM DDR5 32GB / PC5600 /UB/ Samsung,Samsung,47,124.09
Navy blue,RM-WG-T7,8718868918727,Rackmount.IT Kit for WatchGuard Firebox T80/T85,Rackmount,13,124.15
Navy blue,RM-FB-T2,8718868918970,Rackmount.IT Kit for AVM Fritz!Box 5530/6850LTE/7530/7530AX,Rackmount,8,112.68
Navy blue,8859605,4008118859608,Herlitz Bindfaden 100m 45/20kg braun 1 Knäuel,Herlitz,5,3.89
Navy blue,GT-805A-PD,4711605286367,PLANET 1000Base-T PoE+ to 1000Base-FX SFP Media Converter,Planet Technology Corp.,2,65.9
Navy blue,CT2000X9SSD9,649528939357,Crucial Portable SSD X9 2TB Black,Crucial,67,108.44
Navy blue,BL095,4260052188873,be quiet! Lüfter 140*140*25  SilentWings 4,be quiet!,23,18.75
Navy blue,D32033-RPET,7640239421080,"Dicota Top Traveller Eco CORE Toploader 13""-14.1"" black",Dicota,14,36.54
Navy blue,20102,4008705201025,HERMA Ordner A4 Karton Music Girl,HERMA,7,4.65
Navy blue,21G2000DGE,198153402137,"Lenovo ThinkPad P14s G5 14"" Ultra 7-155H 32/1TB 500ADA W11P",Lenovo,8,1963.44
Navy blue,LPS202B,4052792012361,"Logilink Steckdosenleiste 6-fach, 1,4m, m. Schalter  schwarz",LogiLink,44,4.36
Navy blue,KSM26SES8/8HD,740617312119,Kingston Server Premier - DDR4 - 8 GB - SO-DIMM 260-pin - unbuffered,Kingston,21,31.23
Navy blue,90LM04I0-B03170,4711081023722,"ASUS TUF Gaming VG32VQR - LED monitor - curved - 32"" - HDR",Asus,28,303.65
Navy blue,ELWALL,3553340620010,Eaton ELWALL Ellipse ECO wall-mount kit,Eaton,17,14.76
Navy blue,19508,4008705195089,HERMA Sammelmappe A4 hellgruen Polypropylen,HERMA,2,1.54
Navy blue,UM.HB7EEE37,4711121777912,"Acer B277Ew    27""    68,6cm 16:9  100Hz 1920x1080 white",Acer,25,167.66
Navy blue,230688,4260274230688,Monkey Banana Baboon 6 schwarz - aktiver Studiomonitor,Monkey Banana,2,334.97
Navy blue,UA0106A,4052792006940,Logilink 2.5 SATA Silver HDD Enclosure with USB 3.0,LogiLink,33,6.43
Navy blue,UM.HB7EEE07,4711121535147,"Acer B277Eb    27""    68,8cm 16:9  100Hz 1920x1080 black",Acer,128,162.69
Navy blue,90NX06R1-M003S0,4711387531471,"ASUS ExpertBook B5 14""    U7-155U   32 1TB  B5404CMA-Q70103X W11P",Asus,97,1358.47
